n_mm,m,n,k
1,12544,64,147
2,3136,64,576
3,3136,64,576
4,3136,64,576
5,3136,64,576
6,3136,64,576
7,3136,64,576
8,784,128,576
9,784,128,1152
10,784,128,64
11,784,128,1152
12,784,128,1152
13,784,128,1152
14,784,128,1152
15,784,128,1152
16,784,128,1152
17,196,256,1152
18,196,256,2304
19,196,256,128
20,196,256,2304
21,196,256,2304
22,196,256,2304
23,196,256,2304
24,196,256,2304
25,196,256,2304
26,196,256,2304
27,196,256,2304
28,196,256,2304
29,196,256,2304
30,49,512,2304
31,49,512,4608
32,49,512,256
33,49,512,4608
34,49,512,4608
35,49,512,4608
36,49,512,4608
